month,day,hour,usage
1,12,15,1.008
1,12,16,0.67
1,12,17,0.645
1,12,18,0.937
1,12,19,0.725
1,12,20,0.616
1,12,21,0.572
1,12,22,0.487
1,12,23,0.282
1,13,0,0.317
1,13,1,0.206
1,13,2,0.192
1,13,3,0.19
1,13,4,0.19
1,13,5,0.197
1,13,6,0.196
1,13,7,0.657
1,13,8,0.273
1,13,9,0.184
1,13,10,0.189
1,13,11,0.192
1,13,12,0.485
1,13,13,0.191
1,13,14,0.193
1,13,15,0.191
1,13,16,0.263
1,13,17,0.239
1,13,18,0.592
1,13,19,0.899
1,13,20,0.984
1,13,21,1.523
1,13,22,1.589
1,13,23,0.57
1,14,0,0.493
1,14,1,1.133
1,14,2,3.803
1,14,3,3.797
1,14,4,3.807
1,14,5,1.964
1,14,6,0.929
1,14,7,0.935
1,14,8,0.715
1,14,9,0.519
1,14,10,0.462
1,14,11,0.44
1,14,12,0.634
1,14,13,0.484
1,14,14,0.437
1,14,15,0.438
1,14,16,0.424
1,14,17,0.425
1,14,18,0.448
1,14,19,1.205
1,14,20,1.757
1,14,21,3.887
1,14,22,1.403
1,14,23,1.148
1,15,0,0.522
1,15,1,0.489
1,15,2,0.487
1,15,3,0.485
1,15,4,0.48
1,15,5,0.525
1,15,6,0.945
1,15,7,1.041
1,15,8,0.801
1,15,9,0.447
1,15,10,0.433
1,15,11,0.431
1,15,12,0.554
1,15,13,0.454
1,15,14,0.454
1,15,15,0.44
1,15,16,0.436
1,15,17,0.534
1,15,18,0.845
1,15,19,0.726
1,15,20,0.711
1,15,21,0.757
1,15,22,0.912
1,15,23,0.599
1,16,0,0.469
1,16,1,0.939
1,16,2,3.781
1,16,3,3.788
1,16,4,3.877
1,16,5,1.873
1,16,6,0.999
1,16,7,0.986
1,16,8,0.461
1,16,9,0.424
1,16,10,0.437
1,16,11,0.445
1,16,12,0.43
1,16,13,0.438
1,16,14,0.458
1,16,15,0.426
1,16,16,0.44
1,16,17,0.503
1,16,18,0.608
1,16,19,0.605
1,16,20,0.62
1,16,21,0.862
1,16,22,0.913
1,16,23,0.741
1,17,0,0.524
1,17,1,0.486
1,17,2,0.499
1,17,3,1.758
1,17,4,3.809
1,17,5,2.115
1,17,6,0.469
1,17,7,0.912
1,17,8,0.545
1,17,9,0.428
1,17,10,0.456
1,17,11,0.438
1,17,12,0.675
1,17,13,0.463
1,17,14,0.555
1,17,15,0.443
1,17,16,0.448
1,17,17,0.799
1,17,18,0.981
1,17,19,0.637
1,17,20,0.604
1,17,21,0.663
1,17,22,0.555
1,17,23,0.476
1,18,0,0.226
1,18,1,0.204
1,18,2,0.187
1,18,3,2.459
1,18,4,3.509
1,18,5,1.653
1,18,6,0.269
1,18,7,0.636
1,18,8,0.393
1,18,9,0.449
1,18,10,1.214
1,18,11,1.243
1,18,12,0.408
1,18,13,0.412
1,18,14,0.431
1,18,15,0.332
1,18,16,0.239
1,18,17,0.337
1,18,18,0.562
1,18,19,0.581
1,18,20,0.616
1,18,21,0.635
1,18,22,0.511
1,18,23,0.192
1,19,0,0.201
1,19,1,0.203
1,19,2,0.2
1,19,3,0.182
1,19,4,0.182
1,19,5,0.98
